fecha,Desviación estándar,Media,Mediana,Máximo,Mínimo,Número de respuestas,Primer cuartil,Tercer cuartil
2024-04-01,0.12,-0.04,-0.06,0.35,-0.3,38,-0.13,0
2024-05-01,0.12,-0.17,-0.16,0.19,-0.46,38,-0.24,-0.11
2024-06-01,0.07,0.25,0.26,0.37,0.05,38,0.21,0.3
2024-07-01,0.06,0.37,0.36,0.49,0.24,38,0.34,0.4
2024-08-01,0.08,0.33,0.31,0.69,0.22,38,0.28,0.34
2024-09-01,0.05,0.39,0.38,0.53,0.29,38,0.36,0.41
2024-10-01,0.08,0.47,0.48,0.68,0.32,38,0.41,0.53
2024-11-01,0.12,0.63,0.62,1.05,0.44,38,0.6,0.69
2024-12-01,0.09,0.47,0.47,0.69,0.32,38,0.4,0.53
2025-01-01,0.12,0.51,0.5,0.9,0.27,38,0.42,0.57
2025-02-01,0.12,0.3,0.32,0.47,-0.19,38,0.26,0.39
2025-03-01,0.07,0.35,0.34,0.54,0.16,38,0.31,0.39
